Data,Descrição,Categoria,Forma,Valor,Status
"05/11/2026","Despesa com Pessoal (11/2026)","4.1 - Salário","PIX","− R$ 2.163,02","Em aberto"
"05/11/2026","Pró-Labore (11/2026)","5.2 - Pró-Labore","PIX","− R$ 6.000,00","Em aberto"
"04/11/2026","Estagiaria (8/12)","4.1 - Salário","PIX","− R$ 1.275,00","Em aberto"
"30/10/2026","Reserva 13º (10/2026)","Reserva 13º","PIX","− R$ 1.500,00","Em aberto"
"26/10/2026","Tecnologias (10/2026)","3.4 - Tecnologias","PIX","− R$ 80,08","Em aberto"
"20/10/2026","Mensalidade GCLICK (10/2026)","3.4 - Tecnologias","PIX","− R$ 150,00","Em aberto"
"20/10/2026","Mlabs (10/2026)","3.4 - Tecnologias","CC INTER PJ · Venc. 25","− R$ 39,45","Em aberto"
"20/10/2026","INSS (10/2026)","4.4 - INSS","PIX","− R$ 482,58","Em aberto"
"20/10/2026","Reserva para Materiais de Limpeza (10/2026)","9 - Materiais de Limpeza","PIX","− R$ 60,00","Em aberto"
"20/10/2026","Mensalidade RedFox (10/2026)","3.3 - Telefone e Internet","PIX","− R$ 129,90","Em aberto"
"20/10/2026","FGTS do mes (10/2026)","4.5 - FGTS","PIX","− R$ 133,58","Em aberto"
"16/10/2026","NotreDame — Convênio Médico Titular (6/12)
Parcela 6/12","3.6 - Convênio Médico","Boleto","− R$ 292,29","Em aberto"
"16/10/2026","NotreDame — Convênio Médico Dependente (6/12)
Parcela 6/12","3.6 - Convênio Médico","Boleto","− R$ 347,15","Em aberto"
"15/10/2026","Mensalidade SIEG (10/2026)","3.4 - Tecnologias","PIX","− R$ 708,00","Em aberto"
"15/10/2026","Marketing (10/2026)","2.1 - Marketing","PIX","− R$ 300,00","Em aberto"
"15/10/2026","Aluguel (10/2026)","3.1 - Aluguel","PIX","− R$ 1.060,00","Em aberto"
"15/10/2026","Seguro Comercial (10/2026)","3.2 - Seguros","PIX","− R$ 231,84","Em aberto"
"10/10/2026","Mensalidade TIM PJ (10/2026)","3.3 - Telefone e Internet","PIX","− R$ 35,00","Em aberto"
"10/10/2026","Domínio Sistema (10/2026)","3.5 - Domínio Sistema","PIX","− R$ 1.041,22","Em aberto"
"05/10/2026","Pró-Labore (10/2026)","5.2 - Pró-Labore","PIX","− R$ 6.000,00","Em aberto"
"05/10/2026","Despesa com Pessoal (10/2026)","4.1 - Salário","PIX","− R$ 2.163,02","Em aberto"
"04/10/2026","Estagiaria (7/12)","4.1 - Salário","PIX","− R$ 1.275,00","Em aberto"
"29/09/2026","Reserva 13º (09/2026)","Reserva 13º","PIX","− R$ 1.500,00","Em aberto"
"26/09/2026","Tecnologias (09/2026)","3.4 - Tecnologias","PIX","− R$ 80,08","Em aberto"
"20/09/2026","Mensalidade RedFox (09/2026)","3.3 - Telefone e Internet","PIX","− R$ 129,90","Em aberto"
"20/09/2026","Reserva para Materiais de Limpeza (09/2026)","9 - Materiais de Limpeza","PIX","− R$ 60,00","Em aberto"
"20/09/2026","Mensalidade GCLICK (09/2026)","3.4 - Tecnologias","PIX","− R$ 150,00","Em aberto"
"20/09/2026","INSS (09/2026)","4.4 - INSS","PIX","− R$ 482,58","Em aberto"
"20/09/2026","FGTS do mes (09/2026)","4.5 - FGTS","PIX","− R$ 133,58","Em aberto"
"16/09/2026","NotreDame — Convênio Médico Titular (5/12)
Parcela 5/12","3.6 - Convênio Médico","Boleto","− R$ 292,29","Em aberto"
"16/09/2026","NotreDame — Convênio Médico Dependente (5/12)
Parcela 5/12","3.6 - Convênio Médico","Boleto","− R$ 347,15","Em aberto"
"15/09/2026","Marketing (09/2026)","2.1 - Marketing","PIX","− R$ 300,00","Em aberto"
"15/09/2026","Seguro Comercial (09/2026)","3.2 - Seguros","PIX","− R$ 231,84","Em aberto"
"15/09/2026","Mensalidade SIEG (09/2026)","3.4 - Tecnologias","PIX","− R$ 708,00","Em aberto"
"15/09/2026","Aluguel (09/2026)","3.1 - Aluguel","PIX","− R$ 1.060,00","Em aberto"
"10/09/2026","Mensalidade TIM PJ (09/2026)","3.3 - Telefone e Internet","PIX","− R$ 35,00","Em aberto"
"10/09/2026","Domínio Sistema (09/2026)","3.5 - Domínio Sistema","PIX","− R$ 1.041,22","Em aberto"
"05/09/2026","Pró-Labore (09/2026)","5.2 - Pró-Labore","PIX","− R$ 6.000,00","Em aberto"
"05/09/2026","Despesa com Pessoal (09/2026)","4.1 - Salário","PIX","− R$ 2.163,02","Em aberto"
"04/09/2026","Estagiaria (6/12)","4.1 - Salário","PIX","− R$ 1.275,00","Em aberto"
